hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H6160327,Y24H6160327P02,17,1039,17,1048,9.0,0.95303,Recreational,741.030338004,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P02,17,1059,17,1070,11.0,0.95303,Recreational,741.030338004,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P03,17,1039,17,1048,9.0,0.95303,Recreational,689.58572897,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P03,17,1059,17,1070,11.0,0.95303,Recreational,689.58572897,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P04,11,669,11,684,15.0,1.20208,Recreational,686.072457928,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P04,12,740,12,765,25.0,1.20208,Recreational,686.072457928,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P04,17,1039,17,1048,9.0,0.95303,Recreational,686.072457928,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P04,17,1059,17,1070,11.0,0.95303,Recreational,686.072457928,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160334,Y24H6160334P01,16,967,16,978,11.0,0.90288,Recreational,1415.107430253,Weekend,Active,1.0,City,718.5571647,17,17
Y24H6160334,Y24H6160334P01,16,984,16,1000,16.0,0.903,Recreational,1415.107430253,Weekend,Active,1.0,City,718.5571647,17,17
Y24H6160342,Y24H6160342P02,9,555,10,600,45.0,2.71082,Recreational,1696.364442482,Weekend,Active,3.0,City,1344.758169,15,15
Y24H6160342,Y24H6160342P02,10,630,11,675,45.0,2.71082,Recreational,1696.364442482,Weekend,Active,3.0,City,1344.758169,15,15
Y24H6160416,Y24H6160416P01,14,864,14,872,8.0,0.10265,Recreational,665.855447481,Weekday,Active,2.0,City,767.110318,13,13
Y24H6160416,Y24H6160416P01,14,895,14,898,3.0,0.10265,Recreational,665.855447481,Weekday,Active,2.0,City,767.110318,13,13
Y24H6160416,Y24H6160416P01,15,941,15,954,13.0,0.21011,Work,665.855447481,Weekday,Active,2.0,City,767.110318,13,13
Y24H6160416,Y24H6160416P01,16,989,16,1002,13.0,0.21011,Work,665.855447481,Weekday,Active,2.0,City,767.110318,13,13
Y24H6160416,Y24H6160416P02,15,941,15,954,13.0,0.21011,Work,801.888848218,Weekday,Active,2.0,City,767.110318,13,13
Y24H6160416,Y24H6160416P02,16,989,16,1002,13.0,0.21011,Work,801.888848218,Weekday,Active,2.0,City,767.110318,13,13
Y24H6160440,Y24H6160440P01,12,734,12,735,1.0,0.08858,Recreational,252.866168313,Weekday,Active,1.0,City,442.7073582,5,5
Y24H6170105,Y24H6170105P04,8,510,8,535,25.0,1.75715,Education,2432.650327265,Weekday,Active,2.0,City,879.8036257,6,6
Y24H6170105,Y24H6170105P04,15,910,15,935,25.0,1.75701,Education,2432.650327265,Weekday,Active,2.0,City,879.8036257,6,6
Y24H6170105,Y24H6170105P05,8,510,8,535,25.0,2.29423,Education,897.905107921,Weekday,Active,2.0,City,879.8036257,6,6
Y24H6170105,Y24H6170105P05,15,915,15,940,25.0,2.29423,Education,897.905107921,Weekday,Active,2.0,City,879.8036257,6,6
Y24H6170105,Y24H6170105P06,8,510,8,535,25.0,2.29423,Education,1205.021342163,Weekday,Active,2.0,City,879.8036257,6,6
