hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H5740331,Y24H5740331P02,9,586,10,640,54.0,3.16902,Recreational,1117.181783646,Weekday,Private,2.0,City,1089.581127,12,12
Y24H5740331,Y24H5740331P02,11,677,11,705,28.0,4.07598,Recreational,1117.181783646,Weekday,Private,2.0,City,1089.581127,12,12
Y24H5740331,Y24H5740331P02,11,717,12,723,6.0,1.47606,Recreational,1117.181783646,Weekday,Private,2.0,City,1089.581127,12,12
Y24H5740331,Y24H5740331P02,14,857,14,862,5.0,2.03111,Work,1117.181783646,Weekday,Private,2.0,City,1089.581127,12,12
Y24H5740331,Y24H5740331P02,16,989,16,993,4.0,2.03111,Work,1117.181783646,Weekday,Private,2.0,City,1089.581127,12,12
Y24H5740337,Y24H5740337P01,9,540,9,570,30.0,13.90308,Education,1251.425191934,Weekday,Private,1.0,City,735.412958,5,5
Y24H5740337,Y24H5740337P01,13,780,13,810,30.0,13.90308,Education,1251.425191934,Weekday,Private,1.0,City,735.412958,5,5
Y24H5740337,Y24H5740337P02,8,480,8,530,50.0,13.62768,Education,646.550865959,Weekday,Public,1.0,City,735.412958,5,5
Y24H5740337,Y24H5740337P02,15,915,16,965,50.0,13.59164,Education,646.550865959,Weekday,Public,1.0,City,735.412958,5,5
Y24H5740340,Y24H5740340P01,9,570,10,605,35.0,11.99826,Work,641.679404901,Weekday,Private,1.0,City,753.3650805,6,6
Y24H5740340,Y24H5740340P01,14,870,15,900,30.0,12.09246,Recreational,641.679404901,Weekday,Private,1.0,City,753.3650805,6,6
Y24H5740340,Y24H5740340P01,15,915,15,922,7.0,1.53752,Recreational,641.679404901,Weekday,Private,1.0,City,753.3650805,6,6
Y24H5740340,Y24H5740340P01,15,930,15,945,15.0,1.7794,Recreational,641.679404901,Weekday,Private,1.0,City,753.3650805,6,6
Y24H5740340,Y24H5740340P01,15,950,16,965,15.0,1.58871,Recreational,641.679404901,Weekday,Active,1.0,City,753.3650805,6,6
Y24H5740340,Y24H5740340P01,16,980,16,995,15.0,1.58859,Recreational,641.679404901,Weekday,Active,1.0,City,753.3650805,6,6
Y24H5740340,Y24H5740340P01,16,1005,17,1020,15.0,3.17895,Recreational,641.679404901,Weekday,Private,1.0,City,753.3650805,6,6
Y24H5740340,Y24H5740340P01,17,1022,17,1037,15.0,3.17895,Recreational,641.679404901,Weekday,Private,1.0,City,753.3650805,6,6
