hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H6116102,Y24H6116102P01,14,849,14,854,5,2.91555,Work,176.0924499,Weekday,Private,5.0,Shire,134.3448469,10,10
Y24H6040206,Y24H6040206P02,14,872,14,879,7,4.64042,Recreational,860.577966972,Weekend,Private,2.0,City,683.0556617,14,14
Y24H5860105,Y24H5860105P02,6,370,6,394,24,27.80332,Work,1026.911929539,Weekday,Private,4.0,City,1360.881291,17,17
Y24H5890528,Y24H5890528P04,13,825,14,860,35,27.96918,Recreational,1056.382359406,Weekend,Private,2.0,City,614.0663646,7,7
Y24H6210438,Y24H6210438P02,11,663,11,679,16,11.43742,Work,704.482568143,Weekday,Private,3.0,City,569.5238866,8,8
Y24H5990311,Y24H5990311P04,11,702,11,708,6,0.6871,Recreational,246.028342546,Weekday,Active,2.0,City,486.5074288,12,12
Y24H6050312,Y24H6050312P01,16,1011,17,1041,30,20.33999,Work,467.086672171,Weekday,Private,2.0,City,513.5890994,18,18
Y24H5840412,Y24H5840412P02,9,540,9,545,5,2.12004,Recreational,765.584865521,Weekday,Private,2.0,City,1354.795482,13,13
Y24H6020427,Y24H6020427P01,10,600,10,630,30,27.13836,Recreational,294.205695192,Weekend,Private,1.0,City,452.1385809,13,13
Y24H6130218,Y24H6130218P01,15,931,15,937,6,0.378,Recreational,920.400502066,Weekday,Active,2.0,City,527.5547226,8,8
Y24H6200405,Y24H6200405P06,15,920,15,945,25,19.30179,Recreational,3431.229044399,Weekday,Private,4.0,Shire,2324.925105,15,15
Y24H5830124,Y24H5830124P01,16,990,17,1050,60,33.32787,Work,472.95597736,Weekday,Public,2.0,City,741.7815473,12,12
Y24H5820339,Y24H5820339P01,14,894,15,923,29,15.78117,Recreational,1037.639883431,Weekday,Private,1.0,City,721.4954277,9,9
Y24H6230513,Y24H6230513P03,13,780,13,787,7,3.18534,Recreational,493.551101797,Weekend,Private,2.0,Shire,347.8954291,14,14
Y24H5800421,Y24H5800421P02,11,695,11,719,24,1.01831,Work,942.647436357,Weekend,Active,2.0,City,1355.610415,17,17
Y24H5890232,Y24H5890232P03,9,540,9,570,30,37.06194,Work,649.109528976,Weekday,Hired,1.0,City,775.2128181,11,11
Y24H6020325,Y24H6020325P01,7,422,7,429,7,0.31754,Work,346.61971003,Weekday,Active,1.0,City,667.1929588,12,12
Y24H6020511,Y24H6020511P02,5,315,6,360,45,29.82348,Work,673.313294247,Weekday,Private,2.0,City,581.9348089,15,15
Y24H6030102,Y24H6030102P02,14,889,15,929,40,36.85078,Recreational,401.315329702,Weekday,Private,3.0,Shire,370.5272681,6,6
Y24H5930423,Y24H5930423P03,15,905,15,920,15,2.27294,Education,495.727295975,Weekday,Public,3.0,City,548.1985029,6,6
Y24H5840334,Y24H5840334P01,17,1039,17,1054,15,3.68597,Work,549.556027439,Weekend,Private,2.0,City,586.2410519,14,14
Y24H5810524,Y24H5810524P01,16,993,16,996,3,1.44376,Recreational,1054.461422882,Weekday,Private,3.0,Shire,467.873495,10,10
Y24H5870133,Y24H5870133P01,14,862,14,878,16,0.81926,Recreational,452.408633984,Weekday,Active,1.0,City,630.493007,2,2
Y24H6120128,Y24H6120128P01,10,621,10,624,3,0.70247,Recreational,1016.510464851,Weekend,Private,2.0,City,951.9127996,8,8
Y24H5760414,Y24H5760414P02,18,1083,18,1094,11,3.71909,Recreational,332.205201077,Weekend,Private,1.0,City,396.6373667,8,8
